    98/299    0.856G   0.02673   0.01817         0    0.0449         1       640    0.9081     0.915    0.9455    0.5352   0.02418   0.01126         0
    99/299    0.856G   0.02567   0.01836         0   0.04403         7       640    0.8836    0.9297      0.95    0.5304   0.02401   0.01131         0
   100/299    0.856G   0.02658   0.01923         0    0.0458         2       640    0.9297    0.8925    0.9498    0.5385    0.0235   0.01095         0
   101/299    0.856G   0.02533   0.01858         0   0.04392         0       640    0.8738    0.9525    0.9533    0.5479   0.02323    0.0108         0
   102/299    0.856G   0.02656   0.01872         0   0.04528         6       640    0.9047    0.9275    0.9496    0.5424   0.02341   0.01126         0
   103/299    0.856G   0.02596    0.0178         0   0.04377         4       640    0.9105    0.9175    0.9521    0.5493   0.02324   0.01139         0
   104/299    0.856G   0.02543   0.01816         0   0.04359         6       640    0.8893    0.9075    0.9474    0.5557   0.02323   0.01111         0
   105/299    0.856G   0.02593   0.01867         0    0.0446         9       640    0.8804      0.94    0.9504    0.5431   0.02339   0.01096         0
   106/299    0.856G   0.02599   0.01874         0   0.04473         4       640    0.9055     0.935    0.9557    0.5404   0.02321    0.0112         0
   107/299    0.856G   0.02589    0.0183         0   0.04419         2       640    0.9053     0.935    0.9487    0.5421   0.02356   0.01128         0
   108/299    0.856G   0.02574   0.01831         0   0.04405         5       640    0.9231     0.915    0.9492    0.5469   0.02326   0.01128         0
   109/299    0.856G   0.02631   0.01853         0   0.04484         3       640    0.9031    0.9324    0.9451    0.5425   0.02383   0.01122         0
   110/299    0.856G   0.02613    0.0184         0   0.04452         4       640    0.8963      0.93    0.9463    0.5314   0.02402   0.01146         0
   111/299    0.856G   0.02547   0.01789         0   0.04336         6       640    0.8505    0.9099    0.9279    0.5288   0.02353   0.01155         0
   112/299    0.856G   0.02625   0.01845         0   0.04471         1       640    0.9136     0.925    0.9515    0.5496   0.02334   0.01136         0
   113/299    0.856G   0.02501   0.01783         0   0.04284         6       640    0.8897    0.9273    0.9513    0.5457   0.02376   0.01112         0
   114/299    0.856G   0.02477   0.01789         0   0.04266         0       640    0.8502    0.9225    0.9033     0.518   0.02373   0.01164         0
   115/299    0.856G    0.0255   0.01827         0   0.04377         5       640    0.8985    0.9297    0.9485    0.5433   0.02348    0.0114         0
   116/299    0.856G    0.0254   0.01778         0   0.04318         1       640    0.8953      0.92    0.9497    0.5465   0.02354   0.01128         0
   117/299    0.856G   0.02523   0.01836         0    0.0436         7       640     0.924     0.915    0.9448    0.5421     0.024   0.01151         0
   118/299    0.856G   0.02591   0.01852         0   0.04443        11       640     0.903    0.9313    0.9525    0.5353   0.02446   0.01105         0
   119/299    0.856G   0.02555   0.01769         0   0.04324         1       640    0.9143    0.9075    0.9447     0.533   0.02444   0.01116         0
   120/299    0.856G    0.0247   0.01813         0   0.04283         5       640    0.9131    0.9198    0.9574    0.5405   0.02449   0.01097         0
   121/299    0.856G   0.02547   0.01804         0   0.04351         5       640    0.8868      0.96    0.9627    0.5405   0.02406   0.01089         0
   122/299    0.856G   0.02491   0.01747         0   0.04238         1       640    0.9036    0.9375    0.9574    0.5465   0.02352   0.01087         0
   123/299    0.856G   0.02538   0.01898         0   0.04436         3       640    0.9058     0.915    0.9561     0.547   0.02367   0.01097         0
   124/299    0.856G   0.02466   0.01698         0   0.04165         5       640    0.9056    0.9375    0.9614    0.5481   0.02397   0.01107         0
